user_id,signup_date,device_type,region,is_active
1,2023-10-01,desktop,South America,0
2,2023-09-07,mobile,Europe,0
3,2023-06-12,desktop,Europe,0
4,2024-02-27,desktop,Asia,0
5,2024-06-13,desktop,Europe,1
6,2024-03-07,desktop,South America,1
7,2023-02-15,mobile,Asia,1
8,2023-10-26,tablet,Asia,1
9,2023-03-27,desktop,Asia,1
10,2024-02-06,tablet,Europe,0
11,2024-08-10,desktop,Europe,0
12,2024-05-05,desktop,North America,0
13,2023-08-28,tablet,Asia,1
14,2024-07-19,tablet,Europe,1
15,2023-12-30,tablet,South America,0
16,2023-09-09,mobile,Asia,0
17,2023-06-02,tablet,North America,0
18,2024-05-01,mobile,South America,0
19,2024-07-27,desktop,South America,1
20,2024-02-23,mobile,North America,1
21,2024-05-24,tablet,Asia,0
22,2024-05-10,desktop,South America,1
23,2023-04-01,mobile,Europe,1
24,2024-04-20,desktop,South America,1
25,2024-08-10,tablet,North America,1
26,2024-02-06,desktop,South America,1
27,2024-02-21,mobile,Asia,0
28,2023-09-22,mobile,Asia,1
29,2023-06-02,tablet,Asia,1
30,2023-08-25,tablet,Europe,0
31,2024-01-13,mobile,Asia,1
32,2023-11-04,mobile,Asia,1
33,2023-09-17,mobile,South America,1
34,2024-03-03,tablet,South America,0
35,2023-05-10,tablet,North America,0
36,2023-10-30,mobile,South America,1
37,2023-03-24,mobile,Europe,0
38,2024-07-05,tablet,Europe,1
39,2023-12-01,tablet,Asia,1
40,2023-12-08,desktop,Europe,1
41,2023-09-18,desktop,Asia,1
42,2024-08-02,mobile,South America,1
43,2023-12-22,mobile,North America,1
44,2023-06-27,mobile,North America,1
45,2024-03-08,desktop,North America,1
46,2024-05-17,mobile,Asia,1
47,2023-12-01,desktop,North America,0
48,2024-01-01,mobile,Asia,0
49,2024-05-09,desktop,South America,1
50,2023-11-24,desktop,Asia,0
51,2023-06-30,mobile,Europe,0
52,2023-05-19,tablet,Asia,1
53,2024-08-02,tablet,Europe,0
54,2024-07-02,desktop,Europe,0
55,2024-05-20,desktop,Europe,1
56,2023-05-07,tablet,North America,1
57,2023-11-11,mobile,Europe,1
58,2024-01-02,tablet,Europe,0
59,2023-06-07,tablet,North America,1
60,2023-09-30,desktop,South America,1
61,2023-07-26,mobile,Europe,0
62,2024-06-28,mobile,Europe,0
63,2024-04-08,mobile,Asia,0
64,2024-03-15,tablet,South America,1
65,2023-12-01,mobile,South America,0
66,2024-08-17,tablet,South America,0
67,2024-02-11,tablet,South America,1
68,2023-11-20,desktop,South America,0
69,2023-12-07,tablet,South America,1
70,2024-01-23,tablet,North America,0
71,2024-05-02,desktop,Europe,1
72,2024-08-22,desktop,Asia,1
73,2023-11-22,mobile,North America,0
74,2024-04-27,tablet,North America,0
75,2023-06-15,desktop,Europe,0
76,2023-12-27,desktop,Europe,0
77,2023-08-13,mobile,Europe,0
78,2024-07-06,tablet,Asia,1
79,2024-03-16,tablet,North America,1
80,2024-04-16,tablet,Asia,1
81,2024-07-19,tablet,Asia,0
82,2024-01-03,mobile,Europe,0
83,2024-04-29,mobile,Europe,1
84,2023-06-17,desktop,Asia,0
85,2024-03-20,mobile,North America,0
86,2024-04-18,tablet,Europe,1
87,2023-06-18,mobile,Asia,1
88,2023-02-05,mobile,Asia,0
89,2023-01-31,desktop,Asia,1
90,2023-05-21,tablet,Asia,1
91,2023-05-25,desktop,South America,1
92,2023-05-15,desktop,Asia,1
93,2023-08-07,tablet,Europe,0
94,2023-11-24,tablet,Asia,0
95,2024-08-10,tablet,South America,0
96,2024-07-04,mobile,North America,0
